OrderID,OrderDate,Customer,City,Product,Category,Price,Quantity,Discount,PaymentMethod,OrderStatus
1001,2026-01-03,Adithya,Bengaluru,Laptop,Electronics,75000,1,10,Card,Delivered
1002,2026-01-03,Rahul,Hyderabad,Mouse,Electronics,500,2,0,UPI,Delivered
1003,2026-01-04,Sneha,Chennai,Shampoo,PersonalCare,300,3,5,Cash,Delivered
1004,2026-01-04,Arjun,Mumbai,Laptop,Electronics,75000,1,8,Card,Delivered
1005,2026-01-05,Meera,Pune,Notebook,Stationery,100,5,0,UPI,Delivered
1006,2026-01-05,Rahul,Hyderabad,Pen,Stationery,20,10,0,Cash,Delivered
1007,2026-01-06,Adithya,Bengaluru,Mouse,Electronics,500,1,0,UPI,Delivered
1008,2026-01-06,Kavya,Chennai,Headphones,Electronics,2500,1,10,Card,Delivered
1009,2026-01-07,Vikram,Delhi,DeskChair,Furniture,8500,1,12,Card,Delivered
1010,2026-01-07,Nisha,Kolkata,CoffeeMaker,HomeAppliances,4200,1,5,UPI,Delivered
1011,2026-01-08,Rahul,Hyderabad,Keyboard,Electronics,1800,1,0,Card,Delivered
1012,2026-01-08,Meera,Pune,Markers,Stationery,250,4,0,Cash,Delivered
1013,2026-01-09,Sneha,Chennai,FaceWash,PersonalCare,220,2,5,UPI,Delivered
1014,2026-01-09,Arjun,Mumbai,Monitor,Electronics,14500,1,7,Card,Delivered
1015,2026-01-10,Kavya,Chennai,YogaMat,Fitness,1200,2,10,UPI,Delivered
1016,2026-01-10,Vikram,Delhi,WaterBottle,HomeEssentials,350,3,0,Cash,Delivered
1017,2026-01-11,Adithya,Bengaluru,ExternalSSD,Electronics,6200,1,15,Card,Delivered
1018,2026-01-11,Nisha,Kolkata,AirFryer,HomeAppliances,7800,1,10,UPI,Delivered
1019,2026-01-12,Meera,Pune,Planner,Stationery,450,2,0,Cash,Delivered
1020,2026-01-12,Rahul,Hyderabad,OfficeDesk,Furniture,12500,1,5,Card,Delivered
1021,2026-01-13,Sneha,Chennai,Conditioner,PersonalCare,340,2,5,UPI,Delivered
1022,2026-01-13,Arjun,Mumbai,SmartWatch,Electronics,9800,1,8,Card,Delivered
1023,2026-01-14,Kavya,Chennai,Dumbbells,Fitness,2200,2,10,Cash,Delivered
1024,2026-01-14,Vikram,Delhi,TableLamp,HomeEssentials,900,2,0,UPI,Delivered
1025,2026-01-15,Nisha,Kolkata,VacuumCleaner,HomeAppliances,11500,1,12,Card,Delivered
1026,2026-01-15,Adithya,Bengaluru,LaptopBag,Accessories,1800,1,5,UPI,Delivered
1027,2026-01-16,Rahul,Hyderabad,Router,Electronics,3200,1,10,Card,Delivered
1028,2026-01-16,Meera,Pune,SketchBook,Stationery,280,3,0,Cash,Delivered
1029,2026-01-17,Sneha,Chennai,Serum,PersonalCare,650,1,5,UPI,Delivered
1030,2026-01-17,Arjun,Mumbai,GamingMouse,Electronics,2400,1,10,Card,Delivered
1031,2026-01-18,Kavya,Chennai,ResistanceBand,Fitness,700,2,0,UPI,Delivered
1032,2026-01-18,Vikram,Delhi,Bookshelf,Furniture,6800,1,15,Card,Delivered
1033,2026-01-19,Nisha,Kolkata,Toaster,HomeAppliances,2600,1,5,Cash,Delivered
1034,2026-01-19,Adithya,Bengaluru,USBHub,Accessories,950,2,0,UPI,Delivered
1035,2026-01-20,Rahul,Hyderabad,Webcam,Electronics,2100,1,10,Card,Delivered
1036,2026-01-20,Meera,Pune,Highlighters,Stationery,180,5,0,Cash,Delivered
1037,2026-01-21,Sneha,Chennai,BodyLotion,PersonalCare,480,2,5,UPI,Delivered
1038,2026-01-21,Arjun,Mumbai,BluetoothSpeaker,Electronics,3600,1,12,Card,Delivered
1039,2026-01-22,Kavya,Chennai,SkippingRope,Fitness,450,3,0,Cash,Delivered
1040,2026-01-22,Vikram,Delhi,ShoeRack,Furniture,5400,1,10,UPI,Delivered
1041,2026-01-23,Nisha,Kolkata,MixerGrinder,HomeAppliances,6500,1,8,Card,Delivered
1042,2026-01-23,Adithya,Bengaluru,PowerBank,Accessories,1500,2,10,UPI,Delivered
1043,2026-01-24,Rahul,Hyderabad,Tablet,Electronics,22000,1,12,Card,Delivered
1044,2026-01-24,Meera,Pune,StickyNotes,Stationery,120,6,0,Cash,Delivered
1045,2026-01-25,Sneha,Chennai,Sunscreen,PersonalCare,520,2,5,UPI,Delivered
1046,2026-01-25,Arjun,Mumbai,Printer,Electronics,8900,1,10,Card,Delivered
